item_id,pair_id,source_type,level,distractor_source_ids
hotpot::5a8a6a2155429930ff3c0dd0,5a8a6a2155429930ff3c0dd0,comparison,hard,5a7c6753554299683c1c62f9;5ae446175542995ad6573d1f;5a78ce79554299029c4b5ea1
hotpot::5a77a7695542997042120ac4,5a77a7695542997042120ac4,comparison,hard,5ab926bc554299131ca42285;5ac2f34455429921a00ab0b6;5ac44b47554299194317396c
hotpot::5a8febb555429916514e73e4,5a8febb555429916514e73e4,bridge,hard,5a8f157e554299458435d54d;5ab2ac3d55429929539467ce;5ade5a645542997c77adee0d
hotpot::5adcfe7f5542992c1e3a24f1,5adcfe7f5542992c1e3a24f1,bridge,hard,5a764c0b55429976ec32bd89;5abdf06355429976d4830a2d;5ab28156554299449642c8ce
hotpot::5a7b581a5542992d025e6815,5a7b581a5542992d025e6815,comparison,hard,5a8a40015542996c9b8d5e72;5a855b5c5542997b5ce3ffeb;5adff1a255429925eb1afb5e
hotpot::5a8a09565542992d82986e66,5a8a09565542992d82986e66,bridge,hard,5ae135fb55429920d523431f;5ae2e73a55429928c4239545;5ac3165c5542995ef918c10a
hotpot::5ab514dc5542990594ba9cfa,5ab514dc5542990594ba9cfa,bridge,hard,5a88451655429938390d3f12;5ab33ef955429969a97a810e;5a8db2105542994ba4e3dd04
hotpot::5a7cdc1b55429907fabef04d,5a7cdc1b55429907fabef04d,bridge,hard,5ab2be12554299295394686b;5ae1e22a5542997f29b3c160;5a80ad19554299485f5986a8
hotpot::5a84ad3a5542992a431d1a8b,5a84ad3a5542992a431d1a8b,bridge,hard,5add7b0c5542992200553b39;5ab2771e554299340b5254d8;5a8026a05542992e7d278df8
hotpot::5ae2f97555429928c4239582,5ae2f97555429928c4239582,bridge,hard,5a808afb5542992bc0c4a76b;5a8fa4d95542995b4424207b;5a733b835542991f9a20c6b2
hotpot::5a8a03985542992e4fca84d6,5a8a03985542992e4fca84d6,bridge,hard,5ab341f755429969a97a8114;5a8c66db554299585d9e3683;5a81a84e5542990a1d231e4e
hotpot::5ab1ebff5542993be8fa9882,5ab1ebff5542993be8fa9882,comparison,hard,5ab7209a554299110f219aba;5ade74285542992fa25da78c;5ab960d6554299743d22eb21
hotpot::5a8f799d55429918e830d22d,5a8f799d55429918e830d22d,comparison,hard,5a7ba4765542995eb53be976;5a83ef745542996488c2e4f8;5ac13a3d5542996f0d89cc75
hotpot::5a73235c5542994cef4bc475,5a73235c5542994cef4bc475,comparison,hard,5ab7f22a5542991d322237d4;5a88c92d5542993b751ca84e;5add15d15542994ed6169c70
hotpot::5a79ca585542996c55b2dc71,5a79ca585542996c55b2dc71,bridge,hard,5a7a77425542995eb53be83e;5a724dc25542990c210a40df;5ae20e265542994d89d5b325
hotpot::5a860aa6554299211dda2a45,5a860aa6554299211dda2a45,comparison,hard,5a7631cd5542994ccc91870c;5a8a44c65542996c9b8d5e85;5ab6ff3a5542991d3222372a
hotpot::5ae6453e55429908198fa56c,5ae6453e55429908198fa56c,bridge,hard,5ae690b055429908198fa622;5ab27f7b554299722f9b4d4f;5a8d8f77554299068b959d3e
hotpot::5abbdf8055429931dba145bb,5abbdf8055429931dba145bb,bridge,hard,5ac0c1cf5542992a796ded7c;5ae1fa2b5542997f29b3c1df;5ab5f854554299637185c64e
hotpot::5ae4a2b25542995ad6573de0,5ae4a2b25542995ad6573de0,bridge,hard,5a8f5a185542992414482a71;5a7b681b554299042af8f767;5ae0de1455429924de1b71b4
hotpot::5a7b413a5542992d025e67c4,5a7b413a5542992d025e67c4,bridge,hard,5a79e1275542990198eaefe7;5ac42ae45542997ea680ca18;5a901b985542995651fb50b0
hotpot::5abce87e5542993a06baf9a5,5abce87e5542993a06baf9a5,bridge,hard,5a88082055429938390d3ed2;5a879fe05542996e4f30888a;5a8f2fed55429918e830d1c7
hotpot::5ae6638555429908198fa5ba,5ae6638555429908198fa5ba,bridge,hard,5a7f962655429969796c1ac8;5ae0d85d5542990adbacf67e;5a7220f055429971e9dc92ac
hotpot::5a7602d8554299109176e5fb,5a7602d8554299109176e5fb,bridge,hard,5a84afdc5542991dd0999d81;5a722fae55429971e9dc9343;5adfc50355429942ec259b43
hotpot::5a713b325542994082a3e6b5,5a713b325542994082a3e6b5,bridge,hard,5ab3d2595542992ade7c6ebf;5adddf5d5542997dc7907078;5a78d06355429974737f78b4
hotpot::5a867089554299211dda2b30,5a867089554299211dda2b30,comparison,hard,5adfad2b554299603e41835c;5ab69f9a554299710c8d1ef8;5add695a5542992ae4cec557
hotpot::5a7b48b15542995eb53be8eb,5a7b48b15542995eb53be8eb,bridge,hard,5a7302b75542991f9a20c5fd;5a77aa8655429949eeb29f22;5a8662da5542991e7718162f
hotpot::5a88a4e65542997e5c09a671,5a88a4e65542997e5c09a671,bridge,hard,5ab2b8fe5542991669774070;5abb4b4a5542993f40c73aea;5ae7882b554299540e5a55dd
hotpot::5a8be7735542997f31a41df2,5a8be7735542997f31a41df2,bridge,hard,5ab234c65542993be8fa98c6;5ae528e655429908b632652c;5a869e845542991e7718166f
hotpot::5a8b5c8155429949d91db56d,5a8b5c8155429949d91db56d,bridge,hard,5ade063d5542995b365fabcd;5abd4c6d5542993062266c47;5a8d7f2b554299068b959d0c
hotpot::5ab3c53955429969a97a81b9,5ab3c53955429969a97a81b9,bridge,hard,5a84f6c55542997175ce1f36;5a8b4fcc55429949d91db541;5ae238375542994d89d5b39a
hotpot::5ab953a45542996be202047f,5ab953a45542996be202047f,bridge,hard,5ab56e085542992aa134a315;5a90843c5542995651fb517e;5ae4a2e25542996836b02cee
hotpot::5ab43b8a5542991779162c22,5ab43b8a5542991779162c22,bridge,hard,5ae27f22554299495565da8d;5ac434ed554299204fd21f09;5adca8375542990d50227cd4
hotpot::5ab3589455429976abd1bc93,5ab3589455429976abd1bc93,bridge,hard,5a72df275542992359bc31b3;5a8361b65542992ef85e22a0;5a832fdd55429954d2e2ec4f
hotpot::5a7b77d95542997c3ec971a5,5a7b77d95542997c3ec971a5,bridge,hard,5a747a3755429974ef308c09;5a77a3a355429967ab105211;5adf03765542995534e8c72b
hotpot::5a84bc5b5542991dd0999dc3,5a84bc5b5542991dd0999dc3,bridge,hard,5a836ce55542993344746012;5a8720885542991e771816d8;5a8b6ee255429950cd6afcfd
hotpot::5ab6ba9d5542995eadef0083,5ab6ba9d5542995eadef0083,bridge,hard,5ab8261655429934fafe6cf1;5a7f62405542992e7d278cf0;5adf85e05542993344016cba
hotpot::5a8cfee555429941ae14df5c,5a8cfee555429941ae14df5c,bridge,hard,5a72688c5542997f827839b2;5ab809bb5542990e739ec7f9;5ab9d02155429970cfb8ebb0
hotpot::5a7dbf4e5542990b8f503a68,5a7dbf4e5542990b8f503a68,bridge,hard,5ab28c73554299340b525512;5a7fa1b05542994857a7678e;5a791a97554299148911f9f2
hotpot::5ab45a0b5542991779162c7e,5ab45a0b5542991779162c7e,bridge,hard,5ae33cf55542992f92d82268;5a7933b255429907847277eb;5ab93781554299131ca422c7
hotpot::5a7f89c75542994857a76775,5a7f89c75542994857a76775,bridge,hard,5a80f499554299260e20a1d9;5ae73ddb554299572ea5478d;5ab6ddb655429953192ad39e
hotpot::5adfda9655429925eb1afac0,5adfda9655429925eb1afac0,comparison,hard,5a7d1868554299452d57bae2;5a88bb4a554299206df2b353;5ab1cdf8554299722f9b4c84
hotpot::5a7e1cd955429965cec5ea76,5a7e1cd955429965cec5ea76,bridge,hard,5a71224f5542994082a3e5c1;5ac2a35055429967731025ce;5ae63dad55429929b0807afe
hotpot::5adca8215542994ed6169bbc,5adca8215542994ed6169bbc,bridge,hard,5ae7316e554299572ea5477e;5ac415445542995c82c4acb7;5ae547f85542990ba0bbb254
hotpot::5ae1f48d554299234fd0436b,5ae1f48d554299234fd0436b,bridge,hard,5a8750945542996432c57264;5abb4b4a5542993f40c73aea;5a7698c2554299373536010d
hotpot::5add870b5542995b365fab3c,5add870b5542995b365fab3c,bridge,hard,5ab9b7d555429970cfb8eb7a;5a7243915542990c210a4086;5a8b5c8155429949d91db56d
hotpot::5ab91799554299753720f6ea,5ab91799554299753720f6ea,bridge,hard,5ab431e65542991751b4d6e2;5ac3b5d3554299741d48a2f3;5a77a65b5542992a6e59df57
hotpot::5ae64b1d55429929b0807b24,5ae64b1d55429929b0807b24,bridge,hard,5a7da6015542995f4f40229d;5a74397055429974ef308bbe;5a78c7db55429974737f7882
hotpot::5ae0345855429924de1b705f,5ae0345855429924de1b705f,bridge,hard,5ae0819155429924de1b70ea;5a89f58f5542992e4fca84af;5a875cd65542996e4f30879d
hotpot::5a7100435542994082a3e4a3,5a7100435542994082a3e4a3,comparison,hard,5a724a2b5542990c210a40bc;5a7bb16f554299294a54aa9f;5a81ad9855429903bc27b9a3
hotpot::5ae1c90e554299234fd042f7,5ae1c90e554299234fd042f7,bridge,hard,5ab9631a55429970cfb8eaad;5a7f7b3b5542992097ad2f81;5ab6ff3a5542991d3222372a
hotpot::5ae798ce55429952e35ea995,5ae798ce55429952e35ea995,bridge,hard,5ab5035b5542996a3a969ff8;5ae694a15542991bbc976141;5a7a4f335542990198eaf11e
hotpot::5a903b7f55429933b8a204af,5a903b7f55429933b8a204af,bridge,hard,5a823b355542990a1d231f6e;5ab480715542991751b4d798;5abd8c295542992ac4f382ab
hotpot::5ae74890554299572ea547af,5ae74890554299572ea547af,bridge,hard,5ae531a95542990ba0bbb1fc;5ab3b2fb554299753aec59af;5ae73c00554299572ea5478a
hotpot::5ae446175542995ad6573d1f,5ae446175542995ad6573d1f,bridge,hard,5a8b7d7d5542997f31a41d4b;5adc411f5542994650320cbc;5abc715f5542993a06baf8ea
hotpot::5a90a14d5542990a98493672,5a90a14d5542990a98493672,bridge,hard,5ae54bbd5542990ba0bbb262;5a8add4c5542992d82986fb4;5a8c616f5542995e66a475de
hotpot::5a8769475542993e715abf2b,5a8769475542993e715abf2b,bridge,hard,5a8a803b55429930ff3c0e04;5ae6069c55429929b0807a67;5a83c3275542996488c2e4be
hotpot::5a7354d55542994cef4bc55a,5a7354d55542994cef4bc55a,bridge,hard,5a74e93e55429974ef308c92;5a84eecd5542994c784dda8e;5adf80605542995534e8c7d2
hotpot::5adf03b35542993a75d263d3,5adf03b35542993a75d263d3,bridge,hard,5ae7376f5542992ae0d163d2;5abec90a5542994516f45438;5a7bbc59554299294a54aaa9
hotpot::5ae1054055429920d5234284,5ae1054055429920d5234284,comparison,hard,5a8e92b55542995085b37458;5a72c6f65542994cef4bc402;5a73d951554299623ed4ac77
hotpot::5a8ac0595542992d82986f6c,5a8ac0595542992d82986f6c,bridge,hard,5ab28c89554299340b525513;5adc985e5542990d50227cb7;5adc6f6255429947ff173961
hotpot::5a7ca55b55429907fabeefe0,5a7ca55b55429907fabeefe0,bridge,hard,5a8601f855429960ec39b5fd;5ac536485542996feb3fea2e;5a8a833855429970aeb702fe
hotpot::5a88a1bb5542997e5c09a64c,5a88a1bb5542997e5c09a64c,bridge,hard,5ab488bc5542990594ba9c55;5a80afcf554299485f5986b9;5a72239a55429971e9dc92cf
hotpot::5ae48e7e55429913cc20449d,5ae48e7e55429913cc20449d,bridge,hard,5a8f0a01554299458435d539;5a85e57a5542994c784ddbb1;5abaee845542996606241696
hotpot::5abc6d14554299700f9d78bf,5abc6d14554299700f9d78bf,bridge,hard,5adde73f5542992200553b94;5a901f735542990a98493591;5ac43ddf5542995c82c4ad08
hotpot::5adddccd5542997dc7907069,5adddccd5542997dc7907069,bridge,hard,5a7cb993554299452d57b9c2;5a77c09555429967ab105262;5a772c395542993735360207
hotpot::5a7cce4b554299683c1c6388,5a7cce4b554299683c1c6388,comparison,hard,5a87d8215542994775f60800;5adf6a5c5542995ec70e8ff9;5a80427c5542996402f6a49f
hotpot::5a79c8fa5542994bb94570a1,5a79c8fa5542994bb94570a1,bridge,hard,5a8ac02d5542996c9b8d5f6f;5ab874ba5542990e739ec904;5a75639255429916b01642f7
hotpot::5abce43855429959677d6b18,5abce43855429959677d6b18,bridge,hard,5a83431d5542993344745ff5;5a81346055429926c1cdad13;5ae5aba0554299546bf82f17
hotpot::5adefe645542992d7e9f926c,5adefe645542992d7e9f926c,bridge,hard,5ab6993f554299110f219a2b;5ae077735542993d6555eb6d;5ab97b27554299131ca4233c
hotpot::5ac375495542995ef918c1a3,5ac375495542995ef918c1a3,bridge,hard,5a89dd4d554299669944a5e3;5a7cf59b55429909bec768c7;5a85fc995542996432c5715f
hotpot::5abb291355429939ce03dd9e,5abb291355429939ce03dd9e,bridge,hard,5ac3af895542995ef918c1f0;5ab97cd0554299753720f81a;5ac3dfee554299204fd21eab
hotpot::5a82ffe755429940e5e1a949,5a82ffe755429940e5e1a949,bridge,hard,5ac2a41e55429967731025d0;5ab3b2fb554299753aec59af;5a7415cf55429979e28828a6
hotpot::5a858dc85542997b5ce40002,5a858dc85542997b5ce40002,bridge,hard,5ae678915542996d980e7b70;5ae48d1755429913cc204499;5a7d052255429909bec768fd
hotpot::5addf0fd5542997dc79070d2,5addf0fd5542997dc79070d2,bridge,hard,5a79c2955542994f819ef097;5a89e85c5542992e4fca846f;5a8038b55542996402f6a485
hotpot::5a89e2ba5542992e4fca8441,5a89e2ba5542992e4fca8441,bridge,hard,5a771de05542993569682cc8;5adfcb5455429906c02daa48;5a7e3a3f5542995ed0d166dd
hotpot::5a71148b5542994082a3e567,5a71148b5542994082a3e567,bridge,hard,5adfa22655429942ec259ac4;5a8af94455429971feec45b6;5ae1c2d8554299234fd042ee
hotpot::5a83a7e15542992ef85e2347,5a83a7e15542992ef85e2347,bridge,hard,5a771ead55429966f1a36c7c;5a7363465542991f29ee2dd5;5ab6ff3a5542991d3222372a
hotpot::5ab3ddbc55429969a97a81dc,5ab3ddbc55429969a97a81dc,bridge,hard,5ae5086d55429908b63264eb;5ae32ce75542992f92d8223d;5ae4a1ef55429970de88d9e7
hotpot::5adfffe755429925eb1afbd1,5adfffe755429925eb1afbd1,bridge,hard,5a8ee6915542990e94052bad;5ae61bfd5542992663a4f261;5a7c38c955429935c91b5132
hotpot::5ac31456554299741d48a1b4,5ac31456554299741d48a1b4,comparison,hard,5a8b84905542997f31a41d5d;5ab8261655429934fafe6cf1;5a773ec355429966f1a36ccb
hotpot::5a77767a55429967ab10519b,5a77767a55429967ab10519b,bridge,hard,5ab3abe9554299753aec597e;5a78e3b955429974737f78f1;5ab234c65542993be8fa98c6
hotpot::5ab3e07e55429969a97a81e5,5ab3e07e55429969a97a81e5,bridge,hard,5a8e17ce554299653c1aa169;5ab41d855542996a3a969f4b;5a8769475542993e715abf2b
hotpot::5ae628f55542995703ce8b32,5ae628f55542995703ce8b32,bridge,hard,5a88451655429938390d3f12;5a89e0ec5542992e4fca8427;5ac43c7b5542997ea680ca34
hotpot::5a77321355429972597f1493,5a77321355429972597f1493,comparison,hard,5ae32b6755429928c4239644;5a89dca8554299669944a5dd;5adc6ca85542994650320ce1
hotpot::5a71474b5542994082a3e74f,5a71474b5542994082a3e74f,bridge,hard,5a8b20335542996c9b8d5fb3;5a796c805542990784727805;5ae35c945542992e3233c3bd
hotpot::5ab30d1155429976abd1bc3d,5ab30d1155429976abd1bc3d,bridge,hard,5ab6b6fd5542995eadef006b;5a8fc0065542997ba9cb3318;5a74f3f55542993748c8974b
hotpot::5ab94ade554299743d22eac7,5ab94ade554299743d22eac7,bridge,hard,5a90bd7b55429916514e7547;5a8d0c1b5542994ba4e3dbb3;5a792f3e554299029c4b5f20
hotpot::5a76bbe85542993735360191,5a76bbe85542993735360191,bridge,hard,5ae762985542995703ce8c04;5a7a93115542995eb53be86f;5a862da855429960ec39b640
hotpot::5ac116595542992a796dedd1,5ac116595542992a796dedd1,bridge,hard,5a7a0a2d5542990783324e06;5a7f74975542992097ad2f77;5abe4a365542993f32c2a0dc
hotpot::5adcb0ab5542994d58a2f69a,5adcb0ab5542994d58a2f69a,bridge,hard,5ab44ab25542991779162c58;5ab41b8c5542996a3a969f40;5a848b5c5542997175ce1ef2
hotpot::5a7183575542994082a3e85e,5a7183575542994082a3e85e,bridge,hard,5a80fb97554299260e20a1eb;5a80297f5542992e7d278e08;5ae6f1675542991bbc9761a1
hotpot::5a807ca5554299485f598613,5a807ca5554299485f598613,bridge,hard,5ac283f7554299677310254a;5adf1c3f5542993a75d263ec;5ab6d04c554299710c8d1f70
hotpot::5ae457a95542996836b02c85,5ae457a95542996836b02c85,bridge,hard,5a79eef75542996c55b2dca6;5a8eaa74554299068b959e88;5aba05cb55429939ce03dc56
hotpot::5a8a4b9955429930ff3c0d88,5a8a4b9955429930ff3c0d88,bridge,hard,5a77b6c85542992a6e59df96;5a7929c8554299029c4b5f11;5a73672b5542991f29ee2de7
hotpot::5a73f2035542993a88ae2ea8,5a73f2035542993a88ae2ea8,bridge,hard,5ac24ad7554299636651995a;5a813b6f55429903bc27b951;5ae6dd745542996d980e7ca0
hotpot::5a81d51a55429903bc27b9d2,5a81d51a55429903bc27b9d2,bridge,hard,5a7380b955429908901be2d4;5abfc9bf5542993fe9a41e60;5a7e075c5542995f4f4023a3
hotpot::5ae0ec48554299422ee9955a,5ae0ec48554299422ee9955a,bridge,hard,5a84d71c5542997b5ce3ff75;5ae4ec1e5542990ba0bbb19b;5abf1ad15542997ec76fd3c2
hotpot::5ae552bb55429908b63265d9,5ae552bb55429908b63265d9,bridge,hard,5ac0060f554299012d1db578;5ae236da5542994d89d5b397;5ab3b7c555429969a97a8190
hotpot::5ab9339f554299131ca422bb,5ab9339f554299131ca422bb,bridge,hard,5a80427c5542996402f6a49f;5a77baac5542992a6e59dfa2;5a7720d05542993569682cde
hotpot::5ab5eed65542997d4ad1f25c,5ab5eed65542997d4ad1f25c,comparison,hard,5a719bf25542994082a3e891;5ac24d725542996366519966;5a791ce955429974737f798e
hotpot::5a7d9d2b5542997cc2c47464,5a7d9d2b5542997cc2c47464,bridge,hard,5abec66b5542997ec76fd360;5aba971a55429955dce3ee94;5abd6bf055429933744ab7c8
hotpot::5a731a635542994cef4bc458,5a731a635542994cef4bc458,bridge,hard,5ac3d21e554299204fd21e8b;5abaeda95542992ccd8e7e5d;5ac18b585542994ab5c67d76
hotpot::5ae21937554299234fd043d3,5ae21937554299234fd043d3,bridge,hard,5ab299d6554299449642c926;5ac3d9c9554299204fd21ea3;5a90213255429933b8a20482
hotpot::5ab865235542992aa3b8c8db,5ab865235542992aa3b8c8db,bridge,hard,5ab9d2e255429955dce3ed90;5ab78a445542992aa3b8c826;5a7499eb55429929fddd8470
hotpot::5aba9e545542994dbf019986,5aba9e545542994dbf019986,bridge,hard,5a90b43455429916514e7523;5a8bae135542996e8ac889b6;5adc85b855429944faac24e9
hotpot::5abcf51c554299700f9d7949,5abcf51c554299700f9d7949,bridge,hard,5a8c7057554299653c1aa066;5a7d2afb554299452d57bb41;5ac047a3554299294b218f70
hotpot::5a8888e35542997e5c09a5f6,5a8888e35542997e5c09a5f6,bridge,hard,5ab2421555429970612095cc;5a78e9d155429970f5fffdcc;5abd6a7455429933744ab7c5
hotpot::5a7f7b3b5542992097ad2f81,5a7f7b3b5542992097ad2f81,comparison,hard,5a74ab6055429916b01641b9;5ae1fced5542997283cd230e;5a7aa2a255429941d65f270e
hotpot::5ac0805f5542992a796ded29,5ac0805f5542992a796ded29,bridge,hard,5ae738f75542991bbc9761c4;5ab5499e5542992aa134a295;5a77720255429967ab10517f
hotpot::5adbfbd555429947ff173893,5adbfbd555429947ff173893,bridge,hard,5a734f4455429901807dafba;5a81e107554299676cceb12a;5a888fe6554299206df2b2f7
hotpot::5adfc8f45542992d7e9f93d0,5adfc8f45542992d7e9f93d0,bridge,hard,5abde4ed5542991f66106097;5ae71c4c554299572ea546ee;5ae796af554299540e5a5623
hotpot::5ac0c5805542992a796ded80,5ac0c5805542992a796ded80,bridge,hard,5ae388ea5542994393b9e6f0;5ae0850055429945ae959396;5ab875bd55429916710eb062
hotpot::5a7a2be25542996a35c17118,5a7a2be25542996a35c17118,comparison,hard,5abb2a5f5542996cc5e49fca;5ac03b395542992a796decce;5a875154554299211dda2be7
hotpot::5abd516a5542992ac4f3825c,5abd516a5542992ac4f3825c,bridge,hard,5a80f499554299260e20a1d9;5ab2e9b4554299340b525565;5a8089535542992bc0c4a762
hotpot::5a7ddfc55542995f4f4022e9,5a7ddfc55542995f4f4022e9,comparison,hard,5ac54ca45542993e66e822d5;5ac14d0c5542991316484ae2;5a7fe7f85542994857a7683e
hotpot::5a88dc5a5542993b751ca890,5a88dc5a5542993b751ca890,bridge,hard,5a712fca5542994082a3e641;5ae0818e55429924de1b70e9;5ac35a7e554299741d48a257
hotpot::5ab6ddb655429953192ad39e,5ab6ddb655429953192ad39e,bridge,hard,5ac3c0495542995ef918c215;5a8efb5a55429918e830d172;5ade24e35542992fa25da6e6
hotpot::5ab8854555429934fafe6e0c,5ab8854555429934fafe6e0c,bridge,hard,5a8dad37554299068b959d94;5aba749055429901930fa7d8;5ae4c49a5542995dadf24400
hotpot::5ab576c4554299637185c5a4,5ab576c4554299637185c5a4,bridge,hard,5ac3b40a554299741d48a2e5;5ab8688b55429934fafe6daa;5abecdf45542997719eab5d4
hotpot::5addd5795542990dbb2f7e9d,5addd5795542990dbb2f7e9d,bridge,hard,5a74cfc75542996c70cfadfe;5a84e61b5542997b5ce3ff86;5ac4da3b554299076e296e17
hotpot::5ae7eb43554299540e5a5695,5ae7eb43554299540e5a5695,bridge,hard,5ae4ea2a5542993aec5ec0ee;5adf400a5542993a75d2644e;5a9068a95542990a98493621
hotpot::5a74f5155542993748c89750,5a74f5155542993748c89750,comparison,hard,5a8affca55429971feec45e3;5a7c07e15542997c3ec972c7;5a8c6bd55542995e66a475ea
hotpot::5a7d052255429909bec768fd,5a7d052255429909bec768fd,bridge,hard,5ae527085542993aec5ec165;5a847e805542993344746140;5a79305755429907847277dd
hotpot::5ae1faf15542997f29b3c1e3,5ae1faf15542997f29b3c1e3,bridge,hard,5ade811e5542992fa25da7a0;5ae26c435542994d89d5b420;5abcce3355429965836004a5
hotpot::5ae66d785542996d980e7b67,5ae66d785542996d980e7b67,bridge,hard,5adcbc645542994d58a2f6b6;5ab3b0bf5542992ade7c6e39;5ae4a2e25542996836b02cee
hotpot::5ae3f82a5542996836b02c01,5ae3f82a5542996836b02c01,bridge,hard,5ab42b24554299753aec5a43;5a7de63c5542995f4f4022f5;5a8a429955429930ff3c0d34
hotpot::5ab928c255429934fafe6e6e,5ab928c255429934fafe6e6e,bridge,hard,5a70f4c45542994082a3e437;5a77d4eb55429949eeb29f74;5ac0d1555542997d64295a5d
hotpot::5a8cacce554299585d9e3718,5a8cacce554299585d9e3718,bridge,hard,5ab29bdc554299545a2cf9d1;5a836a2d554299334474600f;5ae492955542995ad6573daa
hotpot::5a7ec7f355429934daa2fc64,5a7ec7f355429934daa2fc64,comparison,hard,5a7cc700554299452d57ba4e;5ae470815542996836b02c9f;5a78c69e55429974737f787c
hotpot::5a753c8c55429916b01642ab,5a753c8c55429916b01642ab,bridge,hard,5ac4f9dc55429924173fb533;5abcf2b4554299700f9d7937;5ae4f2c45542990ba0bbb1a9
hotpot::5a8cb4b2554299585d9e372a,5a8cb4b2554299585d9e372a,bridge,hard,5a8f5be9554299458435d5ed;5abacac45542996cc5e49e94;5a7da98e5542990b8f503a17
hotpot::5a7344e95542991f9a20c6ce,5a7344e95542991f9a20c6ce,bridge,hard,5a72c6565542992359bc31a7;5adf39d45542992d7e9f92e5;5a8baf775542996e8ac889c8
hotpot::5a90692f5542990a98493625,5a90692f5542990a98493625,bridge,hard,5ade48795542992fa25da729;5ae0ee2c5542993d6555eca3;5a90b1635542990a984936a9
hotpot::5a8d6d4e554299441c6b9fdb,5a8d6d4e554299441c6b9fdb,bridge,hard,5a7c634c55429907fabeef79;5a714de95542994082a3e7a8;5a793bc95542994bb9456fc3
hotpot::5a7db1a15542995ed0d16660,5a7db1a15542995ed0d16660,comparison,hard,5abacac45542996cc5e49e94;5a8656ca554299211dda2afc;5a8483b45542992a431d1a40
hotpot::5adf6aca5542993344016c8d,5adf6aca5542993344016c8d,bridge,hard,5a7c25035542997c3ec972e5;5abdf68c5542993f32c2a06b;5a848a725542990548d0b2c7
hotpot::5a7d5c175542991319bc93b1,5a7d5c175542991319bc93b1,comparison,hard,5ae7b6055542993210983f00;5ae2c4d75542991a06ce98d0;5a750ccc5542993748c897a8
hotpot::5a829fab55429954d2e2eb83,5a829fab55429954d2e2eb83,comparison,hard,5a7618d85542994ccc9186cf;5a7baae2554299042af8f794;5a77beae5542992a6e59dfae
hotpot::5a74ab6055429916b01641b9,5a74ab6055429916b01641b9,comparison,hard,5ae305355542992decbdcdc2;5abb02fe554299232ef4a39f;5a77769e5542997042120a65
hotpot::5a83a4bc554299123d8c217f,5a83a4bc554299123d8c217f,bridge,hard,5adca8375542990d50227cd4;5a8ea03e5542990e94052b81;5a8ac38855429970aeb70300
hotpot::5a7a030c5542996a35c17077,5a7a030c5542996a35c17077,bridge,hard,5a773e3955429972597f14c9;5a72df8d5542992359bc31b4;5abb207d5542992ccd8e7f1d
